Wavelength(nm)	n	k
546,27957	5,47572	4,45841
544,02667	5,42163	4,49841
541,81596	5,36564	4,5346
539,62313	5,30852	4,56683
537,44799	5,25106	4,5952
535,29031	5,19403	4,61996
533,14988	5,13806	4,64162
531,02651	5,0836	4,66086
528,91998	5,03083	4,67843
526,8301	4,97965	4,69509
524,75667	4,92968	4,71147
522,69949	4,88036	4,72798
520,65838	4,83105	4,74476
518,63315	4,78111	4,76166
516,62361	4,73004	4,77832
514,62959	4,67756	4,79419
512,6509	4,62358	4,80867
510,68737	4,5683	4,82119
508,73882	4,51206	4,83124
506,80508	4,45539	4,83851
504,88599	4,39887	4,84285
502,98138	4,34312	4,84431
501,09109	4,28866	4,84314
499,21494	4,23593	4,83974
497,3528	4,18521	4,83456
495,5045	4,13659	4,82813
493,66988	4,09002	4,8209
491,8488	4,04535	4,81325
490,0411	4,00235	4,80543
488,24664	3,96079	4,79761
486,46528	3,92052	4,78986
484,69687	3,88142	4,78226
482,94127	3,84341	4,7749
481,17967	3,80641	4,76791
479,44941	3,77029	4,76146
477,73155	3,73488	4,75577
476,02595	3,69987	4,75097
474,33249	3,66491	4,74718
472,65104	3,62958	4,74439
470,98146	3,59341	4,74248
469,32364	3,55595	4,74118
467,67745	3,5168	4,74004
466,04277	3,47567	4,73846
464,41948	3,43251	4,7357
462,80745	3,38754	4,731
461,20658	3,34121	4,72374
459,61674	3,29424	4,71346
458,03783	3,24738	4,70004
456,46972	3,20133	4,6836
454,91232	3,15664	4,66449
453,36551	3,11361	4,6431
451,82918	3,07238	4,61981
450,30323	3,03295	4,59489
448,78755	2,99529	4,56844
447,28204	2,95945	4,54049
445,7866	2,92556	4,51098
444,30112	2,89392	4,47992
442,82551	2,86485	4,4474
441,35967	2,83876	4,41365
439,90351	2,81603	4,37904
438,45691	2,79688	4,34407
437,01981	2,78151	4,30931
435,59209	2,76993	4,27537
434,17367	2,76202	4,24289
432,76446	2,75751	4,21246
431,36436	2,75605	4,18459
429,95839	2,75717	4,15974
428,57637	2,7603	4,13827
427,2032	2,76482	4,12037
425,8388	2,77015	4,10615
424,48309	2,77564	4,09556
423,13598	2,78071	4,08845
421,7974	2,78487	4,08457
420,46726	2,78769	4,0836
419,14548	2,78883	4,08517
417,83199	2,78806	4,08888
416,5267	2,78519	4,09437
415,22955	2,7801	4,10126
413,94045	2,77273	4,10918
412,65932	2,76305	4,1178
411,38611	2,75107	4,12678
410,12072	2,73679	4,13579
408,8631	2,72031	4,14449
407,61316	2,70171	4,15255
406,37085	2,68118	4,15961
405,13608	2,65897	4,16535
403,90879	2,63541	4,16952
402,68892	2,61092	4,17192
401,4764	2,58593	4,17248
400,27115	2,5609	4,17127
399,07312	2,53622	4,16847
397,88224	2,51224	4,16433
396,69845	2,48919	4,15925
395,52167	2,46716	4,15361
394,35186	2,4461	4,14784
393,18895	2,42585	4,14229
392,03288	2,4061	4,13722
390,88359	2,38649	4,13278
389,72876	2,36665	4,12891
388,59292	2,34623	4,12549
387,46368	2,325	4,12221
386,34098	2,30284	4,11871
385,22477	2,2798	4,11462
384,11499	2,25605	4,10963
383,01158	2,2319	4,10351
381,9145	2,20768	4,09618
380,82368	2,18375	4,08769
379,73908	2,16036	4,07822
378,66064	2,13769	4,06801
377,58831	2,11581	4,05734
376,52203	2,09464	4,04645
375,46176	2,07409	4,03551
374,40744	2,05397	4,02464
373,35903	2,03413	4,01387
372,31647	2,01439	4,0032
371,27972	1,99462	3,99249
370,24872	1,97474	3,98163
369,22344	1,95473	3,97044
368,20382	1,93466	3,95875
367,18981	1,9147	3,94644
366,18138	1,89503	3,93348
365,17847	1,87582	3,91992
364,18103	1,85723	3,90589
363,18903	1,8393	3,8916
362,20242	1,822	3,87716
361,22116	1,80522	3,86271
360,2452	1,78885	3,84826
359,2745	1,77279	3,83377
358,30901	1,75698	3,81913
357,3487	1,74149	3,80426
356,39353	1,72641	3,78909
355,43326	1,71184	3,77359
354,48828	1,69796	3,75784
353,54831	1,68488	3,74193
352,61332	1,67268	3,72605
351,68326	1,66139	3,71038
350,75809	1,65095	3,69517
349,83778	1,64124	3,68058
348,92228	1,63203	3,66679
348,01156	1,62309	3,65384
347,10559	1,61416	3,64172
346,20432	1,60498	3,63029
345,30771	1,59543	3,61934
344,41574	1,58544	3,60863
343,52837	1,57504	3,59794
342,64556	1,56438	3,58711
341,76727	1,55361	3,57603
340,89347	1,5429	3,56471
340,02413	1,53241	3,55321
339,15921	1,52221	3,54163
338,29869	1,51236	3,53012
337,44251	1,50279	3,51878
336,59066	1,49346	3,50772
335,7431	1,48425	3,497
334,8998	1,47507	3,48659
334,06072	1,4658	3,4765
333,22584	1,4564	3,46666
332,39512	1,44684	3,45703
331,56853	1,43704	3,44755
330,74605	1,42698	3,43816
329,92763	1,41662	3,42882
329,11325	1,40596	3,41942
328,30289	1,39499	3,40988
327,48785	1,38375	3,40008
326,68546	1,37229	3,38998
325,88699	1,3607	3,3795
325,09242	1,34906	3,36861
324,30171	1,33744	3,35728
323,51483	1,32593	3,34549
322,73177	1,31464	3,33327
321,95249	1,30365	3,32063
321,17696	1,29308	3,30765
320,40516	1,28298	3,2944
319,63706	1,27338	3,28099
318,87263	1,26432	3,26749
318,11185	1,25577	3,25402
317,3547	1,24774	3,24067
316,60113	1,24019	3,22753
315,85114	1,23306	3,21468
315,1047	1,22628	3,2022
314,36177	1,21975	3,19017
313,62234	1,21333	3,17864
312,88638	1,20688	3,16759
312,15386	1,20022	3,15701
311,42477	1,19321	3,14677
310,69907	1,18573	3,13673
309,97675	1,17772	3,12663
309,25778	1,16922	3,11631
308,54214	1,16032	3,10552
307,8298	1,15123	3,09411
307,12074	1,14215	3,08203
306,41495	1,13335	3,06926
305,71238	1,125	3,05592
305,01304	1,1173	3,04216
304,31688	1,1103	3,02818
303,6239	1,10404	3,01417
302,92666	1,09844	3,0003
302,23999	1,09342	2,98672
301,55642	1,08885	2,97346
300,87594	1,08459	2,9606
300,19852	1,08059	2,94806
