Wavelength(nm)	n	k
459	2,80957	3,77611
460	2,82135	3,78109
461	2,83316	3,78601
462	2,84499	3,79088
463	2,85685	3,7957
464	2,86874	3,80046
465	2,88065	3,80517
466	2,89258	3,80983
467	2,90454	3,81443
468	2,91652	3,81897
469	2,92853	3,82347
470	2,94055	3,82791
471	2,9526	3,8323
472	2,96467	3,83664
473	2,97676	3,84093
474	2,98887	3,84517
475	3,001	3,84935
476	3,01315	3,85349
477	3,02532	3,85757
478	3,03751	3,86161
479	3,04972	3,8656
480	3,06195	3,86954
481	3,07419	3,87343
482	3,08645	3,87728
483	3,09874	3,88107
484	3,11103	3,88482
485	3,12335	3,88853
486	3,13569	3,89219
487	3,14804	3,8958
488	3,16041	3,89937
489	3,1728	3,90289
490	3,18521	3,90637
491	3,19763	3,9098
492	3,21008	3,9132
493	3,22254	3,91654
494	3,23502	3,91985
495	3,24753	3,92311
496	3,26005	3,92633
497	3,27259	3,92951
498	3,28515	3,93265
499	3,29773	3,93574
500	3,31034	3,93879
501	3,32296	3,94181
502	3,33561	3,94478
503	3,34828	3,94771
504	3,36097	3,9506
505	3,37369	3,95344
506	3,38643	3,95625
507	3,39919	3,95902
508	3,41198	3,96174
509	3,42479	3,96443
510	3,43763	3,96707
511	3,4505	3,96967
512	3,4634	3,97223
513	3,47632	3,97475
514	3,48927	3,97723
515	3,50225	3,97966
516	3,51526	3,98205
517	3,52831	3,9844
518	3,54138	3,98671
519	3,55448	3,98897
520	3,56762	3,99119
521	3,58079	3,99336
522	3,594	3,99549
523	3,60724	3,99757
524	3,62052	3,99961
525	3,63383	4,0016
526	3,64718	4,00354
527	3,66056	4,00543
528	3,67398	4,00727
529	3,68745	4,00906
530	3,70095	4,0108
531	3,71449	4,01249
532	3,72807	4,01412
533	3,74169	4,0157
534	3,75536	4,01722
535	3,76906	4,01869
536	3,78281	4,0201
537	3,7966	4,02145
538	3,81044	4,02274
539	3,82431	4,02396
540	3,83824	4,02513
541	3,8522	4,02623
542	3,86621	4,02726
543	3,88027	4,02823
544	3,89437	4,02913
545	3,90851	4,02995
546	3,9227	4,03071
547	3,93694	4,03139
548	3,95122	4,032
549	3,96555	4,03253
550	3,97992	4,03298
551	3,99433	4,03335
552	4,0088	4,03364
553	4,0233	4,03384
554	4,03785	4,03396
555	4,05244	4,03399
556	4,06708	4,03394
557	4,08176	4,03379
558	4,09648	4,03355
559	4,11125	4,03321
560	4,12605	4,03278
561	4,14089	4,03224
562	4,15578	4,03161
563	4,1707	4,03088
564	4,18566	4,03004
565	4,20065	4,02909
566	4,21568	4,02804
567	4,23074	4,02687
568	4,24584	4,0256
569	4,26097	4,02421
570	4,27612	4,0227
571	4,29131	4,02108
572	4,30652	4,01933
573	4,32176	4,01747
574	4,33702	4,01549
575	4,3523	4,01338
576	4,3676	4,01114
577	4,38292	4,00877
578	4,39825	4,00628
579	4,4136	4,00366
580	4,42896	4,0009
581	4,44432	3,99801
582	4,4597	3,99498
583	4,47508	3,99182
584	4,49046	3,98852
585	4,50584	3,98508
586	4,52121	3,9815
587	4,53658	3,97778
588	4,55195	3,97392
589	4,5673	3,96992
590	4,58264	3,96577
591	4,59796	3,96148
592	4,61326	3,95704
593	4,62854	3,95245
594	4,64379	3,94772
595	4,65902	3,94284
596	4,67421	3,93782
597	4,68937	3,93264
598	4,70449	3,92732
599	4,71958	3,92186
600	4,73462	3,91624
601	4,74961	3,91048
602	4,76455	3,90457
603	4,77944	3,89851
604	4,79428	3,8923
605	4,80905	3,88595
606	4,82377	3,87946
607	4,83841	3,87282
608	4,85299	3,86603
609	4,8675	3,8591
610	4,88194	3,85203
611	4,89629	3,84482
612	4,91057	3,83747
613	4,92476	3,82998
614	4,93887	3,82236
615	4,95288	3,81459
616	4,96681	3,8067
617	4,98064	3,79867
618	4,99437	3,79051
619	5,008	3,78222
620	5,02153	3,7738
621	5,03495	3,76526
622	5,04826	3,7566
623	5,06147	3,74781
624	5,07456	3,7389
625	5,08753	3,72988
